333,0
110,100
71,200
65,301
64,401
64,501
198,602
110,702
65,802
62,903
63,1003
244,1103
83,1204
64,1304
62,1404
62,1506
61,1606
226,1707
98,1807
69,1907
66,2008
65,2108
258,2208
79,2309
64,2409
62,2509
63,2610
63,2711
248,2811
93,2912
69,3012
66,3112
65,3213
273,3313
81,3414
67,3514
65,3614
65,3715
65,3815
252,3916
88,4017
69,4117
67,4217
66,4318
286,4418
76,4518
67,4619
66,4719
66,4819
66,4920
272,5020
82,5122
67,5222
65,5322
65,5423
283,5523
77,5623
66,5724
64,5824
64,5924
63,6025
287,6125
72,6225
62,6327
65,6427
75,6528
166,6628
73,6728
67,6829
66,6929
65,7029
66,7130
294,7230
76,7330
67,7431
65,7532
145,7632
132,7733
72,7833
66,7933
63,8034
64,8134
69,8235
178,8335
70,8435
64,8536
63,8636
191,8737
114,8838
68,8938
64,9038
63,9139
64,9239
131,9339
137,9440
67,9540
62,9640
61,9742
224,9842
97,9943
64,10043
62,10143
61,10244
61,10344
184,10444
117,10545
70,10646
66,10746
64,10847
243,10947
90,11047
67,11148
65,11248
65,11348
65,11450
217,11550
98,11651
67,11751
64,11851
64,11952
258,12052
78,12152
65,12254
62,12354
62,12454
62,12555
243,12655
90,12755
66,12856
64,12957
64,13058
275,13158
80,13258
67,13359
65,13459
64,13559
64,13660
253,13761
87,13861
68,13962
65,14062
65,14162
289,14263
75,14363
66,14464
64,14565
64,14665
64,14766
272,14866
80,14966
66,15067
64,15167
64,15267
292,15369
73,15469
66,15569
65,15670
65,15770
64,15870
289,15971
72,16071
64,16173
62,16273
79,16373
174,16474
69,16574
64,16674
62,16775
62,16875
62,16976
300,17077
72,17177
65,17277
64,17378
157,17478
133,17579
70,17680
64,17780
64,17881
64,17981
71,18081
201,18182
72,18282
65,18382
64,18484
201,18584
112,18684
67,18785
63,18885
63,18985
62,19086
138,19186
144,19288
69,19388
64,19488
63,19589
236,19689
98,19789
66,19890
63,19991
62,20091
63,20192
190,20292
120,20392
67,20493
64,20593
64,20695
249,20795
93,20895
67,20996
63,21096
63,21196
62,21297
225,21397
108,21498
67,21599
64,21699
64,21799
268,21900
85,22000
65,22100
64,22201
64,22302
63,22403
248,22503
96,22603
66,22704
64,22804
64,22904
284,23005
82,23106
67,23206
64,23307
65,23407
65,23507
256,23608
90,23708
67,23810
65,23910
65,24010
294,24111
79,24211
66,24311
65,24412
63,24512
64,24613
276,24714
84,24814
67,24914
65,25015
67,25115
295,25216
74,25316
66,25417
65,25518
64,25618
64,25718
288,25819
79,25919
66,26019
64,26120
107,26221
172,26321
73,26422
66,26522
65,26622
64,26723
64,26823
298,26924
76,27025
67,27125
65,27226
178,27326
134,27426
71,27527
65,27627
64,27728
64,27829
76,27929
223,28029
74,28130
66,28230
64,28331
216,28431
115,28532
70,28633
65,28733
65,28833
64,28934
148,29034
154,29134
72,29236
66,29336
64,29436
242,29537
101,29637
68,29737
64,29838
64,29939
64,30040
196,30140
127,30240
70,30341
64,30441
64,30541
255,30642
95,30743
68,30843
65,30944
65,31044
65,31144
228,31245
111,31345
70,31447
65,31547
64,31647
270,31748
85,31848
67,31948
65,32049
64,32149
64,32250
248,32351
97,32451
67,32551
65,32652
64,32752
285,32852
80,32953
64,33054
64,33155
64,33255
64,33355
261,33456
89,33556
67,33656
64,33757
64,33858
299,33958
76,34059
65,34159
64,34259
64,34360
63,34460
280,34561
81,34662
65,34762
63,34863
76,34963
286,35063
71,35164
64,35264
62,35365
63,35466
63,35566
293,35666
78,35767
65,35867
64,35968
150,36068
165,36169
68,36270
64,36370
63,36470
64,36571
63,36671
302,36771
74,36872
64,36973
64,37073
201,37174
130,37274
69,37374
64,37475
64,37575
64,37677
84,37777
261,37877
73,37978
65,38078
64,38178
233,38279
111,38379
69,38480
65,38581
65,38681
64,38781
162,38882
164,38982
71,39083
65,39184
64,39284
254,39385
101,39485
67,39585
64,39686
64,39786
64,39887
210,39988
128,40088
68,40188
65,40289
63,40389
267,40489
85,40590
65,40691
63,40792
62,40892
62,40992
238,41093
110,41193
68,41293
64,41395
64,41495
291,41595
84,41696
66,41796
64,41896
64,41997
64,42097
256,42199
97,42299
66,42399
64,42500
63,42600
290,42700
78,42801
63,42901
62,43002
62,43103
63,43203
266,43303
89,43404
65,43504
63,43604
68,43705
306,43806
74,43907
64,44007
64,44107
63,44208
63,44308
280,44408
84,44510
66,44610
64,44710
115,44811
240,44911
72,45011
64,45112
64,45212
63,45314
63,45414
292,45514
77,45615
65,45715
64,45815
181,45916
155,46016
70,46117
64,46218
64,46318
64,46418
68,46519
298,46619
74,46720
63,46821
63,46921
216,47022
124,47122
69,47222
64,47323
64,47423
64,47523
123,47625
241,47725
72,47825
64,47926
64,48026
243,48126
107,48227
68,48328
64,48429
64,48529
64,48629
182,48730
159,48830
70,48930
63,49032
64,49132
256,49232
95,49333
65,49433
62,49533
62,49634
62,49734
219,49836
125,49936
68,50036
64,50137
63,50237
271,50337
87,50438
65,50538
